Description,Amount,Trade_Date,Status
US0378331005 Apple Inc shares 1000 units at 150.50 USD,1500010,20240115,Settled
ISIN: US5949181045 Microsoft Corp 500 shares @ $280.25,140125,20240115,Settled
GB0002634946 BAE Systems 2000 shares GBP 12.50 per share,25000,20240116,Pending
ISIN: US88160R1014 Tesla Inc 300 units purchased at USD 185.00,850100,20240116,Settled
JP3435000009 Sony Group Corp 100 shares at JPY 12500,1250000,20240117,Settled
ISIN: DE0007164600 SAP SE 250 shares EUR 145.80 each,36450,20240117,Failed
US0231351067 Amazon.com Inc 400 shares at 155.75 USD per share,62300,20240118,Settled
ISIN: CH0012005267 Novartis AG CHF 88.50 x 600 shares,53100,20240118,Pending
FR0000120172 Carrefour SA 1500 shares at EUR 18.25,27375,20240119,Settled
ISIN: US4592001014 IBM Corp 800 shares USD 162.30 per unit,129840,20240119,Settled